PMID,PMCID,Sentence,Genes,Diseases,Interaction type,Regulation
34256694,8278772," Furthermore, one of PIP1 gene, CrPIP1;5, was identified as functional using a yeast expression system and transgenic overexpression in Arabidopsis.;  Additionally, a single plasma membrane intrinsic protein gene, CrPIP1;5, was functionally identified using heterogeneous transgenic assays.;  These genes included CrPIP1;5, CrPIP2;2, CrPIP2;3, and CrPIP2;5 (Fig. 6).;  Under high salt stress, CrPIP1;2 showed all induced expression patterns in roots, vines, and leaves, while CrPIP1;1, CrPIP1;3, CrPIP1;4, CrPIP2;1, and CrPIP2;6 showed elevated expression in vine and leaf, and their expression was downregulated in roots.;  The genes CrPIP1;2, CrPIP1;3, CrPIP1;4, CrPIP1;5, CrPIP2;1, CrPIP2;4, CrPIP2;5, and CrPIP2;6 were downregulated in root, while CrPIP1;1, CrPIP1;2, CrPIP2;4, and CrPIP2;5 were slightly upregulated in aerial tissues.;  High osmotic stress increased the expression of CrPIP1;1, CrPIP2;4, and CrPIP2;6, and the ABA treatment increased the expression of CrPIP1;2, CrPIP1;4, CrPIP2;1, and CrPIP2;6 (Fig. 6).; Quantitative RT-PCR detection of the expression levels of the 11 CrPIPs responding to different stresses (600 mM NaCl, 150 mM NaHCO3, 300 mM mannitol, and 100 mM ABA) in C. rosea seedling plants. a 5 CrPIP1s. b 6 CrPIP2s.; A previous study indicated that plant PIP1 and PIP2 members can associate together in heterodimers and tetramers [35]. In our previous study, we have functional identified a C. rosea PIP2 gene, CrPIP2;3, being involved in drought tolerance in transgenic plant [36]. CrPIP1;5 and CrPIP2;3 were both initially isolated from C. rosea cDNA library, and these two members showed much higher expression level in different tissues of C. rosea than other CrAQPs (Fig. 5a), which might indicate their relative importance of maintaining water balance in vivo.;  In this study we analyzed two PIP members, CrPIP1;5 and CrPIP2;3, to confirm that CrAQPs could form homodimers or heterodimers.;  To explore CrPIP1;5-CrPIP2;3 interactions, a series of DNA constructs were prepared for a yeast two-hybrid assay (Fig. 7a).;  Both CrPIP1;5 and CrPIP2;3 did not self-activate, but both can form homodimers through direct interactions with themselves(Fig. 7b).;  Furthermore, CrPIP1;5 and CrPIP2;3 can interact with each other (Fig. 7c).; Homodimer or Heterodimer of the CrPIP1; 5 and the CrPIP2;3 detection by yeast two-hybrid assay. a Maps of different constructs. b Both the CrPIP1;5 and the CrPIP2;3 showed self-interacting. c The CrPIP1;5 and the CrPIP2;3 could interact each other; We performed functional identification of CrPIP1;5 using a yeast expression system, constructing with a CrPIP1;5-pYES-DEST52 recombinant vector (Fig. 8a).;  As seen in Fig. 8b, W303 transformed with either CrPIP1;5 or pYES2 developed normally and did not differ in growth rate from the SDG control plate.;  However, with the addition of PEG8000 or sorbitol, W303 transformed with CrPIP1;5 showed an obvious growth lag compared to yeast containing the pYES2 control.;  When NaCl was added to the SDG medium, the W303 yeast containing CrPIP1;5 showed better growth than the control (Fig. 8b).;  CrPIP1;5 resulted in increased H2O2 sensitivity of yeast and lower growth rates, while both the BY4741 strain and the H2O2-sensitive mutant strain skn7Δ showed similar growth performance to the SDG control plate (Fig. 8c).;  These results indicate that, at least in yeast cells, CrPIP1;5 is an active H2O and H2O2 transporter.; The spot assays for stress tolerance confirmation of the CrPIP1;5 expression in yeast. a Map of the CrPIP1;5-pYES-DEST52 construct. b High osmotic stress and salt tolerance confirmation in yeast.;  The growth state of yeast cells (WT, BY4741) transformed with CrPIP1;5-pYES-DEST52 and empty vector pYES2 with or without PEG8000, sorbitol, or NaCl on SDG-Ura plates.;  The growth state of yeast cells (WT and H2O2-sensitive mutant strain skn7Δ) transformed with CrPIP1;5-pYES-DEST52 and empty vector pYES2 with or without H2O2 on SDG-Ura plates.; To further assess the effects of CrPIP1;5, we generated transgenic Arabidopsis plants that ectopically expressed CrPIP1;5 under the control of 35S promoters.;  Although our seed germinating assays indicated that CrPIP1;5 OX lines showed no significant difference on germination rates under salt, salt-alkaline, or high osmotic challenges compared with WT seeds (Figure S3), while in the seedling growth assays, CrPIP1;5 OX line seedlings showed slightly growth retardation on the salt and salt-alkaline MS plates compared with WT control (Figure S4).; The seeds of WT and CrPIP1;5 OX lines were grown in well-watered conditions for 30 days, and prior to the salt, drought, and alkaline stress treatments, the growth rates of adult plants (WT and three CrPIP1;5 OX lines) were relatively consistent.;  Apparently, CrPIP1;5 resulted in weak sensitivity to drought (Fig. 9a).;  After 10 days of water withdrawal, all plants wilted to some degree in both WT and the three CrPIP1;5 OX lines.;  After re-watering and growing for another 7 days, most of the CrPIP1;5 OX plants did not recover, while most of the WT plants did recover and had a higher survival rate than CrPIP1;5 OX plants (Fig. 9b).;  This result indicates that overexpression of CrPIP1;5 decreased plant resistance to drought.; Drought stress treatment on the growth of the transgenic CrPIP1;5 overexpression lines (OX 1#, OX 5#, and OX 10#) and wild-type (WT) plants under natural growth conditions in vermiculite. a Leaf phenotypes of the transgenic line and WT plants under drought treatment. b The survival rates of the OX lines and WT plants.; We found that GFP-fused CrPIP1;5 was constitutively expressed (under the control of CaMV 35S) in transgenic Arabidopsis plants.;  Root tip fluorescence of roughly three- to four-day-old transgenic Arabidopsis seedlings was easily discerned by confocal microscopy; the GFP-CrPIP1;5 protein was visible in the plasma membranes of transgenic plants, while in control plant roots, the GFP signal was distributed evenly in the whole cytoplasm (Figure S6).;  These results suggest that subcellular localization of CrPIP1;5 was consistent across the PIP1 subfamily and was predominantly localized to the plasma membrane, as well as partly in endomembrane system.;  Within the plasma membrane, CrPIP1;5 was folded into a specific transmembrane channel and functioned as a water transporter.;  Two AQP genes from G. soja, GsTIP2;1 and GsPIP2;1, minimized tolerance to salt and dehydration stress when overexpressed in Arabidopsis, implying they have negative impacts on stress tolerance by regulating water potential [43, 44]. In most functional analyses conducted in transgenic plants, the overexpression of AQP genes caused elevated tolerance to salt and drought, such as in Malus zumi (gene MzPIP2;1) [45], Sesuvium portulacastrum (SpAQP1) [46], Stipa purpurea (SpPIP1) [47], Simmondsia chinensis (ScPIP1) [48], Thellungiella salsuginea (TsPIP1;1) [49], and Phoenix dactylifera (PdPIP1;2) [50]. The elevated expression of AQP genes in plants can lead to cellular changes in water potential, which cause alterations in water uptake and transpiration, and ultimately modify tolerance to water deficit stress.; In our previous research, we have characterized CrPIP2;3 as a salt/drought stress related gene [36]. Here we performed protein–protein interaction studies using yeast two-hybrid assays and found that two CrPIP members, encoded by CrPIP1;5 and CrPIP2;3, that were highly expressed in all tested tissues and almost constitutively expressed under the abiotic stress challenges and ABA treatment (Figs. 5a and ​and6).6).;  This is consistent with previous findings that some PIP1 and PIP2 members could assemble as homotetramers and heterotetramers, thereby triggering channel activities, influencing substrate specificity, and regulating PIP trafficking [56]. Here, our results on the expression patterns of CrPIP1;5 and CrPIP2;3 provide a detailed understanding of their regulatory modes and help to illuminate CrAQP functions.; Our results from the yeast overexpression system indicate that CrPIP1;5 is an active transmembrane H2O and H2O2 transporter (Fig. 8).;  We assessed the overexpression of CrPIP1;5 in transgenic Arabidopsis, and CrPIP1;5 lead to slightly reduced saline-alkaline and drought tolerance, which showed the exact opposite phenotype compared with CrPIP2;3’s overexpression in Arabidopsis [36]. This also suggests that CrPIP1;5 could play a key role in water transport.;  Here we speculated that as a foreign AQP gene, CrPIP1;5 might be involved in modifying the function of endogenous PIPs of Arabidopsis, or function more in water flowing out than water absorption in transgenic Arabidopsis roots, thereby resulted in sensitivity to salt and drought stresses.;  We also found that high levels of salt, alkaline, and ABA slightly decreased the expression of CrPIP1;5 in C. rosea, this further suggests that this gene is highly important for water movement between cells and tissues, and is indeed involved in a stress response pathway that protects yeast cells or plants from water loss under high salinity conditions and promotes water release under high osmotic stress or drought (Figs. 8b and ​and9).9).;  The overexpression of CrPIP1;5 in transgenic Arabidopsis is in contrast to most previous findings [40, 54], suggesting that overexpression of plant PIPs results in specificities of abiotic stress tolerance or sensitivity, which also might be attributed to the protein interaction, post-translational modifications (PTM), protein trafficking of the foreign AQP.;  While in C. rosea, our results about the expression pattern of CrPIP1;5 regarding to different tissues or habitats (Fig. 5), as well as the transcriptional changes responding to salinity/alkaline, high osmotic stress, and ABA treatment (Fig. 6a), indicated that CrPIP1;5 might be boiled down to a “housekeeping gene” for basic water homeostasis, to some degree.;  Even the CrPIP1;5 showed higher expression level in YX sample than in SCBG sample (leaves) (Fig. 5b), which might be probably due to the long-term adaptive mechanism that C. rosea plants on YX island have to deal with much tougher water-deficit adversities than plants in SCBG, including water absorption from the external environment and water transportation in vivo.;  The slightly decreased expression of CrPIP1;5 in C. rosea seedlings caused by stress factors or ABA (Fig. 6a), which might be an emergency protection for alleviating the damages caused by water disturbances, since we only checked the CrPIP1;5’s expression changes in 24 h challenged by different factors.;  For example, tobacco PIP1 member, NtAQP1, caused a decline of root hydraulic conductivity and decreased resistance of plants to water stress [57]. Transgenic tobacco (Nicotiana tabacum) plants overexpressing AtPIP1;4 and AtPIP2;5 displayed rapid water loss under dehydration stress and showed enhanced water flow under drought stress [58]. The Glycine soja gene GsPIP2;1 negatively impact salt and drought stress tolerance by regulating water potential when overexpressed in transgenic Arabidopsis [44]. In addition, Arabidopsis plants overexpressing AcPIP2 (a PIP gene from saltbush A. canescens) exhibited drought-sensitive phenotypes [41]. This can be explained by the nature and intensity of stresses, combining with the cooperation between the over-expressed foreign AQPs and the endogenous AQPs.;  In our study, the over-expression of CrPIP1;5 showed some sensitivity both in yeast and in Arabidopsis, which only reflect CrPIP1;5 did involve in water stress responses in vivo.;  Overall, as an active water channel protein with high expression levels in C. rosea different tissues or challenged by different factors, the CrPIP1;5, as well as the CrPIP2;3, might be basic sustainers for water homeostasis during the development of C. rosea plants.;  As predicted, the two PIP1 and PIP2 members, CrPIP1;5 and CrPIP2;3, formed homodimers and heterodimers through protein interactions.;  We also functionally identified one of the CrPIP1 members, CrPIP1;5, given its highest expression levels in different tissues of C. rosea.;  Although our results showed that overexpression of CrPIP1;5 could increase sensitivity to saline-alkaline and drought conditions in yeast and plants, combining the high and regulatable expression of CrPIP1;5 in C. rosea, it can be inferred that CrPIP1;5 is one of basic and important functional genes for facilitating water transportation in vivo, and might be involved in the C. rosea ecological adaptation to tropical coral reef.; The full-length cDNAs of CrPIP1;5 (GenBank accession number {""type"":""entrez-nucleotide"",""attrs"":{""text"":""MT787665"",""term_id"":""2063684758""}}MT787665) and CrPIP2;3 (GenBank accession number {""type"":""entrez-nucleotide"",""attrs"":{""text"":""MT787666"",""term_id"":""2063684760""}}MT787666) were isolated from the cDNA library of C. rosea seedlings, in which all cDNAs were inserted into a yeast expression vector (pYES-DEST52) using Gateway® techniques (Life Technologies).;  The recombinant plasmids containing CrPIP1;5 and CrPIP2;3 cDNAs were designated as CrPIP1;5-pYES-DEST52 and CrPIP2;3-pYES-DEST52 and used as template DNA in the following PCR assays.;  The open reading frame (ORF) regions of CrPIP1;5 and CrPIP2;3 were PCR-amplified using the primer pairs PIP1-5BDF/PIP1-5BDR and PIP2-3BDF/PIP2-3BDR, respectively (Table S2), and then inserted into a pGBKT7 vector using InFusion® techniques (In-Fusion HD® Cloning System, Clontech) to construct the pGBKT7-CrPIP1;5 and pGBKT7-CrPIP2;3 bait plasmids.;  The prey plasmid, pGADT7-CrPIP1;5, and pGADT7-CrPIP2;3, were generated by cloning the CrPIP1;5 and CrPIP2;3 ORFs into the pGADT7 vector after amplification (using the primers PIP1-5ADF/PIP1-5ADR, PIP2-3ADF/PIP2-3ADR as above; Table S2).; The recombinant plasmids CrPIP1;5-pYES-DEST52 and the empty vector pYES2 (a negative control) were transformed into the Saccharomyces cerevisiae wild type strains W303 (MATa; his3-11_15; leu2-3_112; ura3-1; trp1Δ2; ade2-1; can1-100), WT (BY47471; MATa; his3Δ1; leu2Δ0; met15Δ0; ura3Δ0), and H2O2-sensitive mutant skn7Δ (BY4741; MATa; ura3Δ0; leu2Δ0; his3Δ1; met15Δ0; YHR206w::kanMX4).; The coding sequence (CDS) of the CrPIP1;5 cDNA was PCR-amplified using the primer pair PIP1-5OXGF/PIP1-5OXGR (Table S2) and then inserted into plant expression vector pEGAD to generate CrPIP1;5-pEGAD.;  These tests were thereby meant to evaluate the biological functions of CrPIP1;5.; In brief, seed germination rate of the CrPIP1;5 transgenic Arabidopsis (OX 1#, OX 5#, OX 10#, and WT) was measured under the following stress treatments: NaCl (175 mM, 200 mM, and 225 mM; salt stress); 5 mmol/L NaHCO3 plus 95 mmol/L NaCl (pH 8.2), 7.5 mmol/L NaHCO3 plus 92.5 mmol/L NaCl (pH 8.2), and 10 mmol/L NaHCO3 plus 90 mmol/L NaCl (pH 8.2; alkaline stress); mannitol (200 mM, 300 mM, and 400 mM) stress.;  The goal of these treatments was to detect the effect of the overexpression of CrPIP1;5 on affecting the salt/alkaline/osmotic tolerance of transgenic Arabidopsis seeds during germination.;  Additionally, root length was calculated to evaluate the influence of the overexpression of CrPIP1;5 on transgenic Arabidopsis seedlings under abiotic stress (100 mM, 150 mM, and 200 mM NaCl for salt stress; 0.5 mmol/L NaHCO3 plus 99.5 mmol/L NaCl, 0.75 mmol/L NaHCO3 plus 99.25 mmol/L NaCl, 1 mmol/L NaHCO3 plus 99 mmol/L NaCl, pH 8.2 for alkaline stress; 200 mM, 300 mM, and 400 mM mannitol for osmotic stress.; Subcellular localization of CrPIP1;5 in Arabidopsis was also detected using GFP fusion protein in seedling roots.;  The OX homozygous lines of CrPIP1;5-pEGAD and the control (pEGAD) transgenic plants were sterilized and spotted in MS plates to generate seedlings.",PIP1,abiotic stress,,down
